class,ent_name,TPI1,NCOA4,MAGOHB,GBP1,TIMP1,CALM1,TUBB,FLOT1,TUBB1,C9orf72,EIF1AY,GNAS,EHD3,PIM1,PFN1,DAPP1,ENO1,SF3A2,PF4,RPL9,PCGF5,UBE2O,RPS2,CALD1,CD99,MCM6,FKBP5,SNAP23,HDAC8,NDUFS5,FERMT3,B2M,KSR1,SETD2,RPS4Y1,FIP1L1,PRPF8,IL32,GPX4,MYL6,RAB4A,RPL13A,TXNIP,CALM3,UBE2E3,NFYC,F13A1,SLC40A1,BIN1,CD79B,DAXX,HLA-B,WAS,MSN,BCAP31,HSPA8,CXCL5,SP100,ALDOA,RPL23A,GNG11,PRPF3,LILRA2,U2SURP,PDE5A,HIPK3,UCKL1,DNM1L,PPBP,VAV3,CAPN1,RPL37A,SF3B3,CLTA,DEFA3,AHCYL1,RPS14,DNAJA3,LCP2,PAK1,CAV2,SMAP1,RDX,NFKBIA,HPGD,SAT1,TAOK1,MCM3,ITGA2B,MAP4K4,AMD1,RPN1,DAB2,PTPRC,MRPL15,MDH2,PLD4,SNX1,DYNC1LI1,TMSB4Y
0,Vumc-HD-101-TR922,1208,6306,361,1,3709,5491,151,100,9441,2,0,27968,557,4,1029,5669,1840,47,22797,293,2135,152,378,986,7123,182,20,3333,86,179,8317,145767,31,106,0,188,149,10,3545,9233,1069,655,154,7082,702,31,46300,4487,12,2,34,4558,6,2980,1586,120,4400,104,6486,114,6492,9,0,27,3015,236,6,605,90715,121,2498,163,25,102,2,140,313,4,80,16,158,88,138,39,232,7716,401,16,27305,304,839,169,2901,126,1,128,7,210,77,0
0,Vumc-HD-103-TR923,1057,3059,152,52,2139,4194,69,248,2584,23,2,10178,89,20,2566,2223,1589,26,25172,3370,433,58,3943,401,3420,83,96,1596,102,311,2855,84007,25,69,0,235,148,140,2113,7887,773,6685,1584,3565,416,120,6697,1021,153,126,66,5326,34,840,1366,1040,1031,540,4425,1432,3882,93,72,309,446,19,71,150,54576,106,837,1570,81,220,10,64,5160,12,129,113,20,99,97,309,164,4610,255,28,4890,274,389,302,914,2580,53,283,59,414,157,0
0,Vumc-HD-127-TR925,521,640,80,56,1246,4274,18,113,230,22,1,2889,1,4,2816,793,527,17,12347,6139,94,3,3996,197,1348,17,12,255,84,385,506,34350,15,62,0,143,137,114,1489,5088,388,11164,656,2288,143,28,640,103,91,62,81,2935,52,237,422,357,270,521,1366,2541,2353,61,36,508,203,6,30,75,30579,34,112,2377,31,174,387,24,7768,3,69,38,7,133,45,305,10,2757,176,27,868,166,112,97,267,1568,34,158,6,88,96,0
0,Vumc-HD-130-TR926,994,1475,103,63,2467,5623,23,77,616,28,0,5384,29,7,2933,1511,851,3,23839,3476,236,8,4103,650,2178,13,15,626,81,426,1124,67053,15,30,0,135,57,106,2951,8086,488,8095,434,4808,213,34,1965,237,69,81,24,4759,9,679,569,404,942,246,3487,1754,4735,27,25,209,424,3,15,87,58927,17,202,1739,23,205,27,6,6283,6,65,51,34,79,116,427,39,5398,161,8,1688,107,193,80,385,972,16,276,4,144,68,1
0,Vumc-HD-142-TR927,1159,6051,317,1,3229,5757,116,135,5946,7,0,20242,267,4,1285,3962,1690,37,25065,372,1210,41,518,613,5229,125,20,2341,101,248,5372,170113,28,16,4,145,53,16,4480,8921,1063,844,131,8193,489,33,21707,2798,26,9,3,5165,1,1740,1430,222,3307,95,6131,120,6331,6,4,11,1333,75,0,556,105638,33,1209,152,19,86,0,54,580,12,41,9,95,78,165,17,103,5196,384,12,9025,164,503,101,2448,98,5,124,0,198,62,0
0,Vumc-HD-143-TR928,983,4506,306,23,3445,5580,67,111,5065,14,0,21245,242,0,1244,3335,1536,15,27265,423,1408,13,839,767,4949,179,15,2032,86,238,4085,203036,18,62,0,111,5,6,4142,9269,1344,1156,218,8188,678,41,17011,1697,17,12,11,1299,6,1848,1095,179,1676,54,5449,200,6771,13,3,87,1128,36,6,352,119301,0,1465,185,9,57,2,51,760,0,47,13,174,98,70,6,82,6697,260,17,9700,172,594,105,1942,31,5,111,6,120,37,1
0,Vumc-HD-144-TR929,1079,2571,237,0,2068,5786,86,106,3298,7,0,12579,172,0,1425,2708,1188,22,28991,381,352,17,468,498,3816,37,6,1751,62,245,3207,121701,21,44,0,94,31,13,3284,8241,1118,858,64,6584,596,18,11377,1174,22,5,13,1291,1,863,1136,160,3666,90,4986,159,6232,0,6,38,1008,9,10,336,111064,33,1015,203,18,71,6,41,499,0,39,0,24,32,134,22,99,5795,190,1,4258,127,318,83,1164,26,14,84,4,80,32,0
0,Vumc-HD-149-TR932,796,3284,139,13,1656,4184,59,122,3648,5,0,12903,226,3,739,3207,787,69,22567,333,854,72,614,473,3160,85,2,1860,61,143,3359,117896,25,59,0,145,169,15,2095,5326,832,996,185,4255,482,26,18113,1706,26,1,32,3742,3,1597,720,194,2419,91,3533,186,4683,0,0,11,1113,99,16,309,75692,26,1502,227,13,57,1,56,647,2,29,3,52,43,78,11,160,3831,290,35,6007,123,294,71,1723,72,16,95,7,108,50,1
0,Vumc-HD-151-TR933,667,1953,170,5,3200,5645,21,18,916,0,0,9697,14,1,1200,2181,618,8,20213,250,355,8,310,394,4263,71,3,668,34,199,1406,120640,14,38,0,14,44,7,2884,10787,902,689,45,6007,404,12,2232,579,0,0,4,3196,9,821,851,38,487,31,2393,143,5248,0,3,9,565,11,0,105,84449,28,251,185,0,93,0,22,461,1,16,0,26,63,30,11,200,5409,162,0,3265,58,300,20,931,13,6,50,4,58,26,0
0,Vumc-HD-155-TR934,276,442,46,11,934,1835,11,35,562,0,0,4529,6,0,582,1059,236,12,8591,1406,216,10,1089,155,1340,51,1,265,37,69,577,55870,4,29,0,69,37,33,1283,3099,294,2282,245,2288,128,10,1546,468,35,23,34,1571,6,315,349,194,387,157,1102,410,2015,17,0,79,238,11,15,78,27581,22,138,547,31,32,3,3,1376,6,21,1,78,23,58,89,26,1686,109,31,812,62,190,34,314,520,7,46,0,74,20,0
